"","names","type","treatment"
"CA002YF","CA002YF","PE","Urban_AD"
"CA009ST","CA009ST","PE","Urban_AD"
"CA010EB","CA010EB","PE","Urban_AD"
"CA011LQ","CA011LQ","PE","Urban_AD"
"CA014LB","CA014LB","PE","Urban_AD"
"CA015AM","CA015AM","PE","Urban_AD"
"CA020AZ","CA020AZ","PE","Urban_AD"
"CA021IM","CA021IM","PE","Urban_AD"
"CA022MS","CA022MS","PE","Urban_AD"
"CA023EJ","CA023EJ","PE","Urban_AD"
"CA024ZM","CA024ZM","PE","Urban_AD"
"CA025AC","CA025AC","PE","Urban_AD"
"CA026KM","CA026KM","PE","Urban_AD"
"CA027IM","CA027IM","PE","Urban_AD"
"CA028PN","CA028PN","PE","Urban_AD"
"CA029TD","CA029TD","PE","Urban_AD"
"CA034LS","CA034LS","PE","Urban_AD"
"CA035AR","CA035AR","PE","Urban_AD"
"CA037HN","CA037HN","PE","Urban_AD"
"CA038LM","CA038LM","PE","Urban_AD"
"CA039EM","CA039EM","PE","Urban_AD"
"CA040ZK","CA040ZK","PE","Urban_AD"
"Co042AM","Co042AM","PE","Urban_AD"
"CA043SS","CA043SS","PE","Urban_AD"
"CA045HN","CA045HN","PE","Urban_AD"
"CA047MD","CA047MD","PE","Urban_AD"
"CA048LN","CA048LN","PE","Urban_AD"
"CA051AM","CA051AM","PE","Urban_AD"
"CA054RN","CA054RN","PE","Urban_AD"
"CA055LN","CA055LN","PE","Urban_AD"
"CA056DH","CA056DH","PE","Urban_AD"
"Co005SN","Co005SN","PE","Urban_Healthy"
"Co008AF","Co008AF","PE","Urban_Healthy"
"Co009ZN","Co009ZN","PE","Urban_Healthy"
"Co010OB","Co010OB","PE","Urban_Healthy"
"Co011SF","Co011SF","PE","Urban_Healthy"
"Co012ON","Co012ON","PE","Urban_Healthy"
"Co013AY","Co013AY","PE","Urban_Healthy"
"Co014TN","Co014TN","PE","Urban_Healthy"
"Co015OJ","Co015OJ","PE","Urban_Healthy"
"Co016CB","Co016CB","PE","Urban_Healthy"
"Co019KW","Co019KW","PE","Urban_Healthy"
"Co020LM","Co020LM","PE","Urban_Healthy"
"Co021LM","Co021LM","PE","Urban_Healthy"
"Co022EN","Co022EN","PE","Urban_Healthy"
"Co027IF","Co027IF","PE","Urban_Healthy"
"Co028UV","Co028UV","PE","Urban_Healthy"
"Co029YL","Co029YL","PE","Urban_Healthy"
"Co031LM","Co031LM","PE","Urban_Healthy"
"Co034AS","Co034AS","PE","Urban_Healthy"
"Co038AG","Co038AG","PE","Urban_Healthy"
"Co039KG","Co039KG","PE","Urban_Healthy"
"Co040ST","Co040ST","PE","Urban_Healthy"
"Co041LC","Co041LC","PE","Urban_Healthy"
"Co042LN","Co042LN","PE","Urban_Healthy"
"Co043ZS","Co043ZS","PE","Urban_Healthy"
"Co044KM","Co044KM","PE","Urban_Healthy"
"Co045AM","Co045AM","PE","Urban_Healthy"
"Co046KL","Co046KL","PE","Urban_Healthy"
"Co049LJ","Co049LJ","PE","Urban_Healthy"
"CA105LX","CA105LX","PE","Rural_AD"
"CA106NM","CA106NM","PE","Rural_AD"
"CA108EJ","CA108EJ","PE","Rural_AD"
"CA109BJ","CA109BJ","PE","Rural_AD"
"CA110LN","CA110LN","PE","Rural_AD"
"CA111IN","CA111IN","PE","Rural_AD"
"CA112AM","CA112AM","PE","Rural_AD"
"CA115OM","CA115OM","PE","Rural_AD"
"CA117SM","CA117SM","PE","Rural_AD"
"CA118AS","CA118AS","PE","Rural_AD"
"CA119AM","CA119AM","PE","Rural_AD"
"CA120ST","CA120ST","PE","Rural_AD"
"CA123PG","CA123PG","PE","Rural_AD"
"CA124AB","CA124AB","PE","Rural_AD"
"CA125IM","CA125IM","PE","Rural_AD"
"CA126KB","CA126KB","PE","Rural_AD"
"Ca127OM","Ca127OM","PE","Rural_AD"
"CA128SN","CA128SN","PE","Rural_AD"
"CA129AJ","CA129AJ","PE","Rural_AD"
"CA131PM","CA131PM","PE","Rural_AD"
"CA132LD","CA132LD","PE","Rural_AD"
"CA134IT","CA134IT","PE","Rural_AD"
"CA135NS","CA135NS","PE","Rural_AD"
"CA136OM","CA136OM","PE","Rural_AD"
"CA138SM","CA138SM","PE","Rural_AD"
"CA139OS","CA139OS","PE","Rural_AD"
"CA140EM","CA140EM","PE","Rural_AD"
"CA141TC","CA141TC","PE","Rural_AD"
"CA142AC","CA142AC","PE","Rural_AD"
"CA143ST","CA143ST","PE","Rural_AD"
"CA144HN","CA144HN","PE","Rural_AD"
"CA145LM","CA145LM","PE","Rural_AD"
"CA146SM","CA146SM","PE","Rural_AD"
"CA147LJ","CA147LJ","PE","Rural_AD"
"CA148AL","CA148AL","PE","Rural_AD"
"CA149LM","CA149LM","PE","Rural_AD"
"CA150ZC","CA150ZC","PE","Rural_AD"
"CA151QR","CA151QR","PE","Rural_AD"
"CA152HN","CA152HN","PE","Rural_AD"
"CA154OS","CA154OS","PE","Rural_AD"
"CA155LS","CA155LS","PE","Rural_AD"
"CA156MV","CA156MV","PE","Rural_AD"
"CA157LM","CA157LM","PE","Rural_AD"
"CA158LC","CA158LC","PE","Rural_AD"
"CA159AS","CA159AS","PE","Rural_AD"
"Co101AN","Co101AN","PE","Rural_Healthy"
"Co102LP","Co102LP","PE","Rural_Healthy"
"CO103MM","CO103MM","PE","Rural_Healthy"
"Co104IV","Co104IV","PE","Rural_Healthy"
"CO105IV","CO105IV","PE","Rural_Healthy"
"CO106AB","CO106AB","PE","Rural_Healthy"
"Co108OG","Co108OG","PE","Rural_Healthy"
"CO109AG","CO109AG","PE","Rural_Healthy"
"Co111AM","Co111AM","PE","Rural_Healthy"
"CO112SN","CO112SN","PE","Rural_Healthy"
"Co113MM","Co113MM","PE","Rural_Healthy"
"Co114IG","Co114IG","PE","Rural_Healthy"
"Co115SG","Co115SG","PE","Rural_Healthy"
"Co116MR","Co116MR","PE","Rural_Healthy"
"CO117TG","CO117TG","PE","Rural_Healthy"
"Co118MG","Co118MG","PE","Rural_Healthy"
"Co119MG","Co119MG","PE","Rural_Healthy"
"Co120MM","Co120MM","PE","Rural_Healthy"
"Co123LZ","Co123LZ","PE","Rural_Healthy"
"CO124UM","CO124UM","PE","Rural_Healthy"
"Co127MB","Co127MB","PE","Rural_Healthy"
"CO128IV","CO128IV","PE","Rural_Healthy"
"Co130MM","Co130MM","PE","Rural_Healthy"
"CO131AM","CO131AM","PE","Rural_Healthy"
"CO132IM","CO132IM","PE","Rural_Healthy"
"Co133KT","Co133KT","PE","Rural_Healthy"
"Co134KK","Co134KK","PE","Rural_Healthy"
"Co135LT","Co135LT","PE","Rural_Healthy"
"Co136SM","Co136SM","PE","Rural_Healthy"
"CO138AT","CO138AT","PE","Rural_Healthy"
"Co139MP","Co139MP","PE","Rural_Healthy"
"CO140IM","CO140IM","PE","Rural_Healthy"
"Co141IG","Co141IG","PE","Rural_Healthy"
"Co142IP","Co142IP","PE","Rural_Healthy"
"Co143AN","Co143AN","PE","Rural_Healthy"
"Co144LM","Co144LM","PE","Rural_Healthy"
"Co145HN","Co145HN","PE","Rural_Healthy"
"Co146LK","Co146LK","PE","Rural_Healthy"
"Co147SV","Co147SV","PE","Rural_Healthy"
"CO148IM","CO148IM","PE","Rural_Healthy"
"Co149LM","Co149LM","PE","Rural_Healthy"
"Co150LN","Co150LN","PE","Rural_Healthy"
"CO151AN","CO151AN","PE","Rural_Healthy"
"CO152AM","CO152AM","PE","Rural_Healthy"
